,t,u,pres,tend24,consumption
20200404060000,278,78,100672,338,45286
20200404120000,289,43,100655,197,47912
20200404180000,288,44,100497,38,40052
20200405060000,281,65,100498,-174,39451
20200405120000,292,39,100387,-268,44401
20200405180000,290,41,100205,-291,36299
20200406060000,282,64,100577,78,38674
20200406120000,290,48,100878,491,47968
20200406180000,289,51,101032,827,42410
20200407060000,282,76,101385,808,40625
20200407120000,292,45,101320,441,48472
20200407180000,291,47,101161,128,40711
20200408060000,282,74,101151,-234,38790
20200408120000,293,44,101037,-282,47313
20200408180000,292,43,100865,-295,40214
20200409060000,283,72,100927,-224,37602
20200409120000,294,39,100900,-137,45967
20200409180000,293,38,100775,-90,39238
20200410060000,283,67,100910,-17,36257
20200410120000,295,41,100864,-35,44683
20200410180000,293,40,100730,-45,38184
20200411060000,283,67,100881,-28,33463
20200411120000,294,44,100854,-10,40610
20200411180000,292,43,100708,-21,36318
20200412060000,283,74,100570,-311,31910
20200412120000,294,40,100275,-578,40838
20200412180000,290,53,99988,-720,34396
20200413060000,284,67,100097,-472,32327
20200413120000,289,54,100271,-4,41195
20200413180000,285,64,100342,354,36599
20200414060000,279,73,100725,628,36684
20200414120000,286,48,100701,430,47700
20200414180000,286,46,100580,237,39943
20200415060000,280,69,100748,22,40068
20200415120000,290,38,100607,-94,48440
20200415180000,290,45,100418,-161,40316
20200416060000,283,70,100404,-344,38131
20200416120000,293,48,100338,-268,47459
20200416180000,291,51,100181,-237,40089
20200417060000,285,74,100214,-190,36455
20200417120000,292,55,100121,-217,46036
20200417180000,291,60,100038,-142,39578
20200418060000,285,84,100288,74,33156
20200418120000,292,61,100294,172,41428
20200418180000,290,70,100237,198,36636
20200419060000,285,90,100212,-75,31305
20200419120000,290,70,100065,-228,41222
20200419180000,288,75,99895,-341,35702
20200420060000,284,83,99751,-461,34815
20200420120000,289,67,99621,-444,46527
20200420180000,290,61,99497,-398,40563
20200421060000,285,70,99535,-215,36146
20200421120000,291,56,99617,-4,47844
20200421180000,290,57,99691,194,40728
20200422060000,285,68,100044,508,37412
20200422120000,291,50,100130,512,47363
20200422180000,291,52,100157,465,40781
20200423060000,285,72,100507,462,36757
20200423120000,293,45,100474,344,47101
20200423180000,292,51,100305,148,41261
20200424060000,284,79,100258,-248,36950
20200424120000,293,50,100101,-372,45704
20200424180000,292,51,99860,-445,39578
20200425060000,285,75,99870,-388,33343
20200425120000,292,52,99814,-287,40596
20200425180000,289,60,99628,-231,36644
20200426060000,284,81,99747,-122,31833
20200426120000,290,56,99780,-34,40576
20200426180000,290,53,99647,18,35467
20200427060000,285,86,99658,-88,35192
20200427180000,290,63,99404,-242,41144
20200428060000,285,88,99384,-274,36450
20200428120000,289,73,99392,-148,47577
20200428180000,287,75,99455,51,42235
20200429060000,284,84,99530,145,37674
20200429120000,289,58,99531,138,48166
20200429180000,287,71,99352,-102,41553
20200430060000,284,86,99252,-277,37845
20200430120000,287,72,99235,-295,48746
20200430180000,286,76,99197,-155,41699
20200501060000,284,84,99307,54,34230
20200501120000,289,65,99288,52,42242
20200501180000,287,73,99421,224,37819
20200502060000,285,81,99825,518,34748
20200502120000,289,69,99954,665,42724
20200502180000,289,64,100025,604,38816
20200503060000,284,90,100348,522,33371
20200503120000,290,69,100382,428,41596
20200503180000,291,66,100274,248,36926
20200504060000,286,85,100344,-4,35991
20200504120000,293,59,100270,-112,47391
20200504180000,292,60,100075,-198,41159
20200505060000,286,76,100128,-215,36224
20200505120000,290,66,100232,-37,47667
20200505180000,290,60,100292,217,41947
20200506060000,285,81,100587,458,36685
20200506120000,293,51,100674,441,46823
20200506180000,292,50,100677,384,40875
20200507060000,285,73,100862,275,36883
20200507120000,295,41,100797,122,46444
20200507180000,293,48,100558,-118,41254
20200508060000,287,71,100477,-385,33069
20200508120000,296,41,100332,-464,40895
20200508180000,294,47,100092,-465,37385
20200509060000,288,70,99994,-482,31869
20200509120000,295,54,99778,-554,39996
20200509180000,293,63,99561,-531,37130
20200510060000,288,85,99362,-631,30188
20200510120000,293,68,99237,-541,40447
20200510180000,290,79,99081,-480,35933
20200511060000,283,82,99062,-300,35669
20200511120000,286,65,99335,98,49305
20200511180000,284,69,99755,674,44131
20200512060000,281,78,100277,1214,39579
20200512120000,286,59,100224,888,50732
20200512180000,285,63,99981,225,44416
20200513060000,283,79,99682,-576,39822
20200513120000,287,66,99542,-681,51921
20200513180000,286,73,99601,-380,45798
20200514060000,282,79,99997,314,40660
20200514120000,287,63,99935,392,51896
20200514180000,287,64,99848,247,44682
20200515060000,283,76,100251,254,40220
20200515120000,289,57,100504,568,50707
20200515180000,288,58,100578,730,43134
20200516060000,284,78,100821,570,36541
20200516120000,291,51,100791,287,43743
20200516180000,290,54,100655,77,38144
20200517060000,284,74,100882,61,33075
20200517120000,292,49,100972,181,41104
20200517180000,292,47,100881,225,35380
20200518060000,285,75,101035,152,36332
20200518120000,294,45,101056,8,48380
20200518180000,294,42,100831,-50,42914
20200519060000,287,75,100787,-248,36059
20200519120000,296,46,100690,-297,48335
20200519180000,295,48,100575,-255,43002
20200520060000,289,67,100571,-215,35758
20200520120000,298,44,100528,-161,48026
20200520180000,297,43,100422,-152,43038
20200521060000,289,77,100688,117,31998
20200521120000,298,51,100678,150,41556
20200521180000,298,43,100544,121,38073
20200522060000,290,77,100661,-27,33032
20200522120000,297,56,100844,165,43816
20200522180000,295,60,100842,298,40551
20200523060000,289,77,101120,458,31462
20200523120000,289,66,101420,575,41421
20200523180000,289,67,101531,688,37464
20200524060000,285,84,101718,598,30342
20200524120000,292,54,101718,298,39693
20200524180000,292,54,101658,127,34624
20200525060000,287,79,101787,68,34102
20200525120000,294,46,101747,28,47360
20200525180000,294,46,101614,-44,42780
20200526060000,288,71,101777,-10,35916
20200526120000,296,44,101765,18,48360
20200526180000,295,42,101632,18,43500
20200527060000,289,66,101774,-2,35661
20200527120000,297,42,101725,-40,48308
20200527180000,295,43,101571,-61,43545
20200528060000,289,66,101550,-224,35390
20200528120000,296,44,101330,-395,48035
20200528180000,295,41,101054,-517,43602
20200529060000,288,61,100925,-624,35289
20200529120000,296,39,100772,-557,47052
20200529180000,295,39,100567,-487,42635
20200530060000,289,59,100595,-330,31857
20200530120000,296,38,100462,-310,41189
20200530180000,295,43,100294,-272,37835
20200531060000,289,58,100404,-191,29482
20200531120000,296,41,100347,-115,38564
20200531180000,295,45,100260,-34,34555
20200601060000,289,65,100451,47,30343
20200601120000,297,46,100444,97,41069
20200601180000,296,46,100341,81,37346
20200602060000,290,73,100420,-31,34173
20200602120000,298,42,100267,-177,49730
20200602180000,297,43,99962,-378,45676
20200603060000,290,72,99598,-821,36238
20200603120000,295,56,99337,-930,49977
20200603180000,293,66,99068,-894,44945
20200604060000,287,90,98804,-794,35730
20200604120000,289,75,98780,-557,50479
20200604180000,288,76,98787,-281,44199
20200605060000,286,85,98888,84,35782
20200605120000,290,62,98928,148,48715
20200605180000,288,75,99052,265,42950
20200606060000,286,79,99254,365,31959
20200606120000,291,57,99332,404,41569
20200606180000,289,70,99247,194,37807
20200607060000,285,90,99478,224,30498
20200607120000,290,61,99684,351,40774
20200607180000,290,63,99768,521,35800
20200608060000,286,82,99997,518,35006
20200608120000,291,62,100041,357,48400
20200608180000,289,69,100067,298,43304
20200609060000,286,84,100261,264,36030
20200609120000,289,69,100338,297,50425
20200609180000,289,69,100284,217,45118
20200610060000,286,82,100237,-24,36653
20200610120000,290,62,100128,-210,51796
20200610180000,290,64,99925,-358,45528
20200611060000,286,86,99468,-768,36833
20200611120000,292,60,99321,-807,50710
20200611180000,292,64,99257,-668,45379
20200612060000,288,83,99121,-347,36485
20200612120000,293,67,99094,-227,50540
20200612180000,293,67,99125,-131,44729
20200613060000,288,87,99592,471,32748
20200613120000,293,62,99708,614,43109
20200613180000,293,60,99841,715,38649
20200614060000,288,80,100191,598,30065
20200614120000,293,59,100268,560,40903
20200614180000,293,63,100242,401,36587
20200615060000,288,83,100414,222,34164
20200615120000,294,58,100420,151,49216
20200615180000,293,62,100344,101,44880
20200616060000,289,82,100310,-104,36136
20200616120000,294,61,100161,-258,50241
20200616180000,292,70,100012,-331,45296
20200617060000,288,86,100005,-304,35988
20200617120000,292,69,99938,-222,50587
20200617180000,291,71,99920,-92,45140
20200618060000,287,87,99958,-47,36154
20200618120000,292,65,100002,64,50104
20200618180000,292,66,99994,74,46209
20200619060000,288,83,100365,407,35793
20200619120000,293,62,100447,444,49163
20200619180000,292,65,100478,484,43424
20200620060000,289,81,100710,344,32684
20200620120000,294,56,100731,284,43346
20200620180000,294,59,100624,145,38732
20200621060000,289,78,100667,-42,30003
20200621120000,295,59,100731,0,40362
20200621180000,294,64,100781,157,36263
20200622060000,290,76,101105,438,34198
20200622120000,295,53,101114,382,49891
20200622180000,296,51,100900,118,45909
20200623060000,291,72,100880,-225,35670
20200623120000,299,48,100788,-325,51175
20200623180000,300,45,100554,-345,46966
20200624060000,293,69,100541,-338,36125
20200624120000,301,46,100438,-350,52473
20200624180000,301,44,100302,-251,48612
20200625060000,294,65,100281,-260,36638
20200625120000,301,48,100211,-227,53189
20200625180000,300,49,100035,-267,49746
20200626060000,293,73,100048,-232,37092
20200626120000,298,63,99990,-221,52161
20200626180000,297,63,99825,-210,47188
20200627060000,292,80,99902,-145,32663
20200627120000,296,66,100001,11,43527
20200627180000,296,64,99978,152,40278
20200628060000,291,78,100275,372,30474
20200628120000,296,55,100302,301,40989
20200628180000,293,68,100271,292,37853
20200629060000,290,79,100252,-22,34840
20200629120000,296,51,100222,-80,49969
20200629180000,294,58,100077,-194,46134
20200630060000,290,74,100055,-197,36652
20200630120000,295,62,99967,-255,50723
20200630180000,296,63,99788,-288,47357
