numer_sta,date,t,u,pres,tend24
7110,20200105150000,280.650000,80,102160,-470
7149,20200105150000,281.350000,80,102430,-100
7190,20200105150000,279.950000,82,101780,240
7481,20200105150000,278.750000,80,100430,-80
7630,20200105150000,276.250000,90,101320,-410
7690,20200105150000,287.750000,77,102420,300
7015,20200105180000,279.850000,94,102830,-80
7110,20200105180000,280.150000,85,102070,-640
7149,20200105180000,280.650000,78,102400,-170
7190,20200105180000,274.850000,97,101690,80
7481,20200105180000,275.750000,89,100430,-170
7630,20200105180000,275.450000,92,101310,-510
7690,20200105180000,284.850000,83,102600,530
7015,20200105210000,279.650000,98,102720,-260
7110,20200105210000,279.650000,82,101910,-760
7149,20200105210000,279.950000,72,102290,-320
7190,20200105210000,273.250000,100,101600,-150
7481,20200105210000,274.950000,93,100380,-290
7630,20200105210000,274.750000,98,101210,-600
7690,20200105210000,281.850000,72,102690,640
7015,20200106000000,279.150000,95,102590,-440
7110,20200106000000,276.950000,88,101730,-890
7149,20200106000000,275.650000,87,102100,-550
7190,20200106000000,271.550000,99,101460,-330
7481,20200106000000,272.950000,95,100310,-330
7630,20200106000000,274.750000,99,101120,-650
7690,20200106000000,281.250000,64,102730,770
7015,20200106030000,279.250000,86,102440,-580
7110,20200106030000,278.350000,91,101450,-1120
7149,20200106030000,274.050000,97,101960,-640
7190,20200106030000,272.550000,100,101340,-470
7481,20200106030000,272.650000,96,100180,-460
7630,20200106030000,274.150000,100,101010,-680
7690,20200106030000,280.950000,59,102690,670
7015,20200106060000,277.850000,81,102310,-680
7110,20200106060000,280.350000,89,101290,-1210
7149,20200106060000,273.450000,97,101800,-820
7190,20200106060000,272.850000,100,101290,-560
7481,20200106060000,271.950000,97,100140,-480
7630,20200106060000,272.750000,100,100970,-710
7690,20200106060000,280.250000,60,102740,610
7015,20200106090000,275.950000,88,102120,-900
7110,20200106090000,282.350000,84,101130,-1330
7149,20200106090000,274.050000,95,101670,-950
7190,20200106090000,273.350000,100,101250,-630
7481,20200106090000,273.850000,95,100120,-510
7630,20200106090000,274.450000,100,101040,-630
7690,20200106090000,281.550000,56,102820,460
7015,20200106120000,279.550000,75,101770,-1180
7110,20200106120000,283.750000,82,100990,-1380
7149,20200106120000,278.250000,79,101460,-1050
7190,20200106120000,274.150000,100,101030,-780
7481,20200106120000,283.350000,66,99930,-540
7630,20200106120000,284.950000,72,100990,-500
7690,20200106120000,287.450000,62,102690,300
7015,20200106150000,280.050000,74,101560,-1310
7110,20200106150000,283.550000,98,101040,-1120
7149,20200106150000,281.350000,70,101280,-1150
7190,20200106150000,274.150000,97,100900,-880
7481,20200106150000,282.050000,69,99810,-620
7630,20200106150000,285.950000,69,101000,-320
7690,20200106150000,286.950000,66,102540,120
7015,20200106180000,277.750000,85,101640,-1190
7110,20200106180000,281.850000,96,101260,-810
7149,20200106180000,278.150000,82,101560,-840
7190,20200106180000,272.950000,100,100860,-830
7481,20200106180000,279.050000,84,99880,-550
7630,20200106180000,280.650000,75,101200,-110
7690,20200106180000,286.150000,69,102540,-60
7015,20200106210000,278.550000,87,101630,-1090
7110,20200106210000,278.350000,98,101420,-490
7149,20200106210000,279.050000,93,101490,-800
7190,20200106210000,272.950000,100,100870,-730
7481,20200106210000,277.850000,86,100050,-330
7630,20200106210000,280.050000,88,101430,220
7690,20200106210000,283.550000,79,102520,-170
7015,20200107000000,279.350000,93,101740,-850
7110,20200107000000,279.750000,100,101500,-230
7149,20200107000000,280.250000,95,101620,-480
7190,20200107000000,273.050000,100,100820,-640
7481,20200107000000,275.950000,97,100020,-290
7630,20200107000000,280.050000,89,101480,360
7690,20200107000000,282.350000,74,102430,-300
7015,20200107030000,277.750000,97,102000,-440
7110,20200107030000,281.250000,100,101470,20
7149,20200107030000,279.850000,95,101800,-160
7190,20200107030000,274.750000,100,100970,-370
7481,20200107030000,273.750000,97,100190,10
7630,20200107030000,279.350000,91,101490,480
7690,20200107030000,281.850000,72,102310,-380
7015,20200107060000,276.750000,94,102060,-250
7110,20200107060000,282.950000,100,101420,130
7149,20200107060000,279.150000,96,101770,-30
